;Contributions to the Method of Paired Comparisons (1978)
;Henry F. Kaiser and Ronald C. Serlin
;;.2194;.2262;.0724;.6386;.0244;.2641;.0076;.2126;.2180;.6114;.0679;.5744
Pl;Name;1;2;3;4;5;6;7;8;9;10;11;Score
1;AF;;2w0;;;;;;8w2;;;;2
2;Army;11w0;1b2;;3w0;4b2;;6b2;;8b0;;10b0;6
3;Boston;;;;2b2;;;;6w2;7b0;8w2;;6
4;Colgate;;;;;2w0;;12b0;;6b2;;;2
5;G tech;8w0;9b2;;11b0;;;;;;;;2
6;Holy Cross;;;;;;;2w0;3b0;4w0;;;0
7;Miami;;;;9b0;10w0;11b0;;;3w2;;;2
8;Navy;5b2;;;12b0;9w0;;11w0;1b0;2w2;3b0;;4
9;Notre Dame;;5w0;;7w2;8b2;;;11b0;;;;4
10;Penn State;;;;;7b2;;;;11w0;;2w2;4
11;Pittsburg;2b2;;;5w2;;7w2;8b2;9w2;10b2;;;12
12;Rutgers;;;;8w2;;;4b2;;;;;4
