Competition name -  - Altibox 2019;;;;;;;;;;
Game file after Round 9 - 2020-05-06.;;;;;;;;;;
Pl;Name;1;2;3;4;5;6;7;8;9
1;Magnus Carlson;7w1½;2b1½;10w2;9w1½;8b1½;6w1½;5b1½;3w2;4b½
2;Levon Aronian;10w1½;1w½;9b2;8w½;6b1½;5w1½;3b1½;4w0;7b1½
3;Yang Yu;8b1½;6w1½;5b0;10b2;4w1½;7b1½;2w½;1b0;9w2
4;Fabiano Caruana;9b½;8w2;6b0;5w½;3b½;10b1½;7w1½;2b2;1w1½
5;Wesley So;6b½;10b1½;3w2;4b1½;7w½;2b½;1w½;9b1½;8w1½
6;Liren Ding;5w1½;3b½;4w2;7b½;2w½;1b½;9w2;8b½;10w½
7;Viswanathan Anand;1b½;9w0;8b1½;6w1½;5b1½;3w½;4b½;10b1½;2w½
8;Maxime Vachier-Lagrave;3w½;4b0;7w½;2b1½;1w½;9b1½;10w1½;6w1½;5b½
9;Shakhriyar Mamedyarov;4w1½;7b2;2w0;1b½;10w½;8w½;6b0;5w½;3b0
10;Alexander Grishuk;2b½;5w½;1b0;3w0;9b1½;4w½;8b½;7w½;6b1½
