;Competition name; Eredivisie 2019/2020
;Game file after Round 26; 2020-03-08, winch = 3
rElo; 207, 199, 171, 134, 83, 42, 25, -7, -12, -9, -37, -45, -93, -85, -91, -86, -155, -240
A400; 196, 188, 170, 135, 85, 45, 28, -6, -12, -9, -36, -46, -95, -86, -92, -89, -151, -224
Pl;Name;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
1;Ajax;7b1;12b3;13b3;;11b3;10b3;4b1;16b3;9b3;17b3;18b3;3b3;15b3;6b3;8b3;14b3;5w0;2b0;17b3;11b3;9b0;4b3;;18b3;8b0;2w0;10b3
2;AZ;16b3;18b3;9w1;;7b0;11b3;17b3;3b3;8b3;5b1;10w0;4b3;14b3;12b3;6b3;13b3;15b3;1b3;11b0;5w0;10b3;18b3;;14b0;15b3;1b3;17b3
3;Feyenoord;11b1;10b1;6w1;;5b3;17b3;12b1;2w0;14b3;16b0;8w1;1b0;13b3;18b3;9b1;15b3;7b1;4b3;6b3;10b3;8b3;12b3;;15b3;16b3;4b1;5b3
4;PSV;14b1;17b3;8b3;;18b3;7b3;1w1;9b3;15b3;13b3;6b0;2w0;11b1;5b0;10b3;12b1;16b3;3b0;15b3;13b1;14w1;1b0;5b3;17b3;7b3;3w1;9b3
5;WillemII;15b3;7w0;16b3;12b3;3w0;8b0;13b3;;6b0;2w1;14b3;18b3;9b0;4b3;17b1;11b3;1b3;10b3;16w1;2b3;15w1;8b3;4b0;6w1;12b0;9b3;3b0
6;Utrecht;17b3;15b3;3b1;13w0;14b0;12b3;10b1;;5b3;7b0;4b3;11b3;16b3;1b0;2w0;18w0;9b3;8b3;3w0;15b1;17b3;13b1;;5b1;14b3;18b0;11b3
7;Vitesse;1w1;5b3;15b3;8b1;2b3;4b0;16b3;;18b3;6b3;13b3;17w0;12b0;9w0;11b0;10b0;3w1;14b3;13b3;16b3;12w1;17b1;9b0;10b3;4w0;15b0;14b3
8;Heracles;10w0;16b1;4w0;7w1;9b3;5b3;14b3;;2b0;12b3;3b1;15b3;18b0;13b3;1b0;17b3;11b1;6w0;10b1;12b0;3w0;5b0;16b3;13b0;1b3;17b1;18b3
9;Groningen;12b3;14w0;2b1;;8w0;13b0;15b3;4b0;1b0;18b3;11b3;10b1;5b3;7b3;3w1;16b0;6w0;17b1;12b3;14b1;1b3;15b0;7b3;11b3;13w0;5b0;4w0
10;Heereveen;8b3;3w1;12b0;14w1;16w1;1b0;6w1;;13b3;15b3;2b3;9w1;17b1;11b3;4b0;7b3;18b3;5w0;8w1;3b0;2w0;16b0;13w1;7b0;17w1;14b3;1w0
11;Sparta;3w1;13b3;17b3;15b1;1w0;2b0;18b3;;16b1;14b3;9b0;6w0;4w1;10b0;7b3;5b0;8w1;12b0;2b3;1b0;16w1;14b0;17b3;9w0;18b3;12b3;6b0
12;Emmen;9w0;1b0;10b3;5b0;15w0;6b0;3w1;;17b3;8b0;16b3;14b0;7b3;2b0;18b1;4w1;13b0;11b3;9b0;8b3;7b1;3b0;14b3;16b1;5b3;11b0;13b3
13;VVV;18b3;11b0;1w0;6b3;17b0;9b3;5b0;;10w0;4b0;7w0;16b0;3w0;8b0;14b3;2b0;12b3;15w0;7b0;4w1;18b3;6w1;10b1;8b3;9b3;16w1;12b0
14;Twente;4w1;9b3;18w1;10b1;6b3;16b3;8w0;;3b0;11b0;5w0;12b3;2b0;15b3;13b0;1w0;17b1;7w0;18b0;9w1;4b1;11b3;12b0;2b3;6b0;10w0;7b0
15;PEC;5w0;6b0;7b0;11w1;12b3;18b3;9b0;;4w0;10b0;17b3;8b0;1w0;14b0;16b3;3b0;2w0;13b3;4b0;6w1;5b1;9b3;18b1;3w0;2b0;7b3;16b1
16;Fortuna;2b0;8w1;5w0;;10b1;14w0;7b0;1b0;11w1;3b3;12b0;13b3;6b0;17b3;15b0;9b3;4b0;18b3;5b1;7w0;11b1;10b3;8b0;12w1;3b0;13b1;15w1
17;ADO;6w0;4b0;11w0;18b3;13b3;3b0;2w0;;12b0;1w0;15b0;7b3;10w1;16b0;5w1;8b0;14w1;9w1;1b0;18b3;6b0;7w1;11b0;4w0;10b1;8w1;2b0
18;Waalwijk;13b0;2w0;14b1;17w0;4w0;15b0;11b0;;7w0;9b0;1w0;5b0;8b3;3b0;12w1;6b3;10w0;16b0;14b3;17b0;13w0;2b0;15w1;1b0;11w0;6b3;8b0
#
# Coronavirus and sports leagues: obtaining a fair ranking when the season cannot resume; https://arxiv.org/abs/2005.02280
# https://nl.wikipedia.org/wiki/Eredivisie_2019/20_(mannenvoetbal)
