Open NKKNDB1970;;;;;;;;;;;;;;;;
fill in FMJD-report;;;;;;;;;;;;;;;;
Pl;FMJD-id;Title;Name;Cn;rating;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Pt
1;;;Ton Sijbrands;nl;;2/17w;2/19b;2/14w;2/13b;2/15w;1/5b;2/11w;1/8b;2/2b;1/3w;17
2;;;Michel Hisard;;;1/6w;2/16b;2/20w;2/12b;2/18w;1/7b;2/10w;1/9b;0/1w;1/4b;14
3;;;Piet Roozenburg;nl;;2/16w;1/6b;2/12w;1/20b;1/7w;2/18b;1/9w;1/10b;1/4w;1/1b;13
4;;;Baba Sy;;;2/19w;1/17b;1/13w;1/14b;1/5w;1/15b;2/8w;1/11b;1/3b;1/2w;12
5;;;Sjoerd Visser;nl;;1/7w;1/18b;1/16w;1/6b;1/4b;1/1w;0/12w;1/20b;2/9b;2/10w;11
6;;;Siep Mensonides;nl;;1/2b;1/3w;1/15b;1/5w;0/11b;1/8w;1/17b;2/19w;1/14b;2/13w;11
7;;;Jan Edink;nl;;1/5b;0/15b;2/19w;2/17b;1/3b;1/2w;0/13w;2/14b;1/8b;1/11w;11
8;;;Paul Germain;;;2/12w;1/20b;1/9w;1/10b;1/16w;1/6b;0/4b;1/1w;1/7w;2/18b;11
9;;;Carl Smith;;;1/13w;1/14b;1/8b;1/11w;2/19w;1/17b;1/3b;1/2w;0/5w;2/15b;11
10;;;Kees Pippel;nl;;1/14w;2/13b;1/11b;1/8w;2/17w;2/19b;0/2b;1/3w;1/15w;0/5b;11
11;;;Nikhila;nl;;2/20w;0/12b;1/10w;1/9b;2/6w;2/16b;0/1b;1/4w;1/18w;1/7b;11
12;;;Frans Hermelink;nl;;0/8b;2/11w;0/3b;0/2w;1/13b;1/14w;2/5b;1/15w;1/19w;2/17b;10
13;;;John Sadiek;sr;;1/9b;0/10w;1/4b;0/1w;1/12w;1/20b;2/7b;2/18w;2/16w;0/6b;10
14;;;Jean Simonata;;;1/10b;1/9w;0/1b;1/4w;2/20w;1/12b;2/18b;0/7w;1/6w;1/16b;10
15;;;Raoul Delhom;fr;;1/18w;2/7w;1/6w;0/16b;0/1b;1/4w;1/20w;1/12b;1/10b;0/9w;8
16;;;Derk Kleinrensink;nl;;0/3b;0/2w;1/5b;2/15w;1/8b;0/11w;0/19b;1/17w;0/13b;1/14w;6
17;;;Michel Grégoire;;;0/1b;1/4w;0/18b;0/7w;0/10b;1/9w;1/6w;1/16b;2/20b;0/12w;6
18;;;Gaetan Gagnon;ca;;1/15b;1/5w;2/17w;1/19b;0/2b;0/3w;0/14w;0/13b;1/11b;0/8w;6
19;;;Wim Jurg;nl;;0/4b;0/1w;0/7b;1/18w;0/9b;0/10w;2/16w;0/6b;1/12b;2/20w;6
20;;;Jan Blom;nl;;0/11b;1/8w;0/2b;1/3w;0/14b;1/13w;1/15b;1/5w;0/17w;0/19b;5
