;;020 Summer rapid
;;fill in FMJD-report
Pl;FMJD-id;Title;Name;Cn;FMJD;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;R31;R32;R33;R34;R35;R36;Pt 
1;10011;gmi;Hans Jansen;nl;2282;2/18b;2/20w;1/14b;;;;1/17b;0/2b;1/4b;;;;2/3w;2/8b;2/7b;1/11w;2/6b;1/2b;2/21b;2/6w;2/9w;2/5w;2/3b;2/14w;2/4w;2/5b;2/17w;;;;1/2w;2/5b;2/6w;1/11b;;1/2b;42
2;10017;gmi;Hein Meijer;nl;2300;;;;1/11b;2/16w;2/7w;1/4w;2/1w;2/17b;;;;;;;1/5b;2/3w;1/1w;2/6w;2/21b;2/7b;;;;2/5w;2/9b;2/6w;0/11w;1/4w;2/8b;1/1b;2/3w;2/19b;1/17w;1/4b;1/1w;37
3;15107;;Kees Pippel;nl;2177;;;;;;;2/18w;2/5w;;2/8b;1/16w;;0/1b;2/14b;;1/4w;0/2b;;1/11w;2/8b;;2/20b;0/1w;;2/6w;2/21w;;1/4b;2/6b;;1/5b;0/2b;;2/4b;2/17w;;27
4;20056;;Luuk Terweijden;nl;2201;;;;1/16b;0/11w;2/21b;1/2b;1/17w;1/1w;;;;;;;1/3b;2/21w;1/5w;1/7w;2/9b;2/6b;;;;0/1b;2/17w;2/7b;1/3w;1/2b;2/20w;;;;0/3w;1/2w;1/20b;25
5;18656;;Johan Smits;nl;2115;;;;1/7w;2/21b;;;0/3b;;;;;1/14b;1/15b;;1/2w;2/22b;1/4b;;;;0/1b;2/6b;;0/2b;0/1w;;;2/8w;;1/3w;0/1w;;2/8w;;;16
6;15362;;John Stins;nl;2019;;;;;;0/19b;1/11w;2/18b;0/13b;;2/9w;2/22w;;;0/14b;2/21w;0/1w;;0/2b;0/1b;0/4w;;0/5w;2/21w;0/3b;1/7w;0/2b;2/17b;0/3w;2/9w;1/11w;;0/1b;;;;17
7;20565;;Paul Lohuis;nl;2056;;;;1/5b;1/19w;0/2b;;;;0/16b;;2/9b;0/15b;0/12b;0/1w;;;;1/4b;0/11b;0/2w;;;;0/21w;1/6b;0/4w;2/8w;0/17b;2/19w;;;;;;;10
8;26522;;Herman Hebbink;nl;;;;;;;;1/13w;2/9b;;0/3w;2/22b;0/17w;;0/1w;0/15b;;;;;0/3w;2/21b;;2/21b;2/9w;;;;0/7b;0/5b;0/2w;;;;0/5b;0/20w;;11
9;18660;;Frank Zwerver;nl;1806;;1/22w;1/19w;;0/18b;;;0/8w;0/16b;;0/6b;0/7w;;;;;;0/21w;;0/4w;0/1b;;;0/8b;;0/2w;0/21w;;1/20b;0/6b;;;;;;;3
10;11013;;Jan Pieter Drost;nl;2158;;;;;;2/18w;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
11;10030;gmi;Kees Thijssen;nl;2345;;;;1/2w;2/4b;;1/6b;;;;;;;;;1/1b;;;1/3b;2/7w;;2/14w;;;2/17w;;;2/2b;;;1/6b;;;1/1w;;;16
12;13836;;Arie Storm;nl;2000;;;;;;;;;;;;;;2/7w;;;;;;;;;;;;;;;;;;;;;;;2
13;13281;;Willem Winter;nl;2115;;;;;;;1/8b;2/16w;2/6w;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
14;10819;;Peter van Heun;nl;2194;;1/15b;1/1w;;;;2/16b;;2/18b;;;;1/5w;0/3w;2/6w;;;;;;;0/11b;2/20w;0/1b;;;;;;;;;;;;;11
15;17442;;Job van Goudoever;nl;;2/20w;1/14w;0/18b;;;;;;;;;;2/7w;1/5w;2/8w;;;;;;;;;;;;;;;;;;;;;;8
16;13265;;Johan Capelle;nl;2146;;;;1/4w;0/2b;;0/14w;0/13b;2/9w;2/7w;1/3b;2/20w;;;;;;;;;;;;;;;;;;;;;;;;;8
17;12371;mf;Krijn ter Braake;nl;2179;;;;;;;1/1w;1/4b;0/2w;;2/20w;2/8b;;;;;;;;;;;;;0/11b;0/4b;0/1b;0/6w;2/7w;;;;;1/2b;0/3b;;9
18;;;Joep Kooijman;nl;;0/1w;1/19b;2/15w;1/21w;2/9w;0/10b;0/3b;0/6w;0/14w;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
19;17053;;Huub Kroes;nl;1901;;1/18w;1/9b;;1/7b;2/6w;;;;;;;;;;;;;;;;;;;;;;;;0/7b;;;0/2w;;;;5
20;15045;;Gerrit Tigchelaar;nl;2045;0/15b;0/1b;2/22w;;;;;;;;0/17b;0/16b;;;;;;;;;;0/3w;0/14b;;;;;;1/9w;0/4b;;;;;2/8b;1/4w;6
21;28069;;Ibrahim Guennoun;nl;;;;;1/18b;0/5w;0/4w;;;;;;;;;;0/6b;0/4b;2/9b;0/1w;0/2w;0/8w;;0/8w;0/6b;2/7b;0/3b;2/9b;;;;;;;;;;7
22;26710;;Gerrit de Benis;nl;;;1/9b;0/20b;;;;;;;;0/8w;0/6b;;;;;0/5w;;;;;;;;;;;;;;;;;;;;1
